City,State,2009,2010,2011,2012,2013,2014,2015,2016,2017
Baltimore, OH,31932864.39,37193693.7,42506422.43,43275699.66,40781163.02,39056626.25,34615812.44,30128753.13,23877934.33
Bamberg, SC,16665887.41,17401961.74,17564143.66,18124388.56,19653781.87,19463006.96,19583079.23,18795014.83,17138708.42
Bandon, OR,32758382.36,32103892.23,31860490.35,33693340.77,35409393.78,36772991.88,37198983.68,37143108.11,33102107.12
Bangor, ME,337782068.7,347873785.4,352752347.2,346120375.5,348297405.1,346285281.1,359973247.9,384511060.3,406539520
Bar Harbor, ME,8124507.708,8368145.095,8372826.732,8435047.02,8649521.293,8480730.645,8433233.222,8143297.726,7208207.934
Baraboo, WI,43593440.36,48851702.43,52455352.63,54759024.82,54215771.27,51782857.45,46846760.33,41287148.41,33175561.22
Barbourville, KY,12871219.17,12905329.44,12851573.49,13011775.74,14068256.38,14827308.71,15780327.59,15803918.47,14765280.01
Bardstown, KY,145115536.2,141606390.4,131085720.5,130752836,142836788.4,154085727.2,164535232.7,165947167.4,159429181
Barnesville, GA,35534283.57,33887146.54,30976028.28,28780468.21,27590864.07,25809544.61,24374123.26,22787160.98,21124336.04
Barnesville, OH,20636224.06,21075764.51,21870406.65,23482678.85,24326433.67,25458696.46,24915868.29,23714533.83,20548555.78
Barnstable Town, MA,1638251089,1707819219,1723277833,1727469924,1768168851,1738403750,1739960174,1733925205,1612855096
Barnwell, SC,44790994.26,44503183.18,43973741.81,43571995.85,45589115.04,44076573.49,43730339.7,41842149.73,38381615.73
Barre--Montpelier, VT,195404404.1,196695482.2,189358939.1,181457712.8,182218303.2,178346009.4,180178812.3,186695731.2,177926154.7
Barron, WI,7430480.49,9171477.056,10829390.44,12285823.95,13073195.59,13230994.99,12596472.8,11676928.18,9864595.326
Barrow, AK,0,0,0,0,0,0,0,0,0
Barstow, CA,435740628.7,445855780,464740788.3,475784049.4,476552096.1,488589886.2,481802998.8,474819484.4,447631203.5
Bartlesville, OK,93660322.64,99849599.53,103857651.7,106711250.2,105186064.1,107318216.2,105191032.5,102223329.4,89957256.51
Bartlett, TX,65314804.31,69291470.93,76348865.58,81276056.76,84316751.01,85270395.67,80615013.62,72483174.27,59476115.34
Basalt--El Jebel, CO,22203261.56,22379946.58,21635139.79,20789647.12,19800751.33,18517433.86,16847448.13,15263543.82,12853101.29
Basehor, KS,46284311.25,48049144.43,48393955.79,50089324.36,51512590.35,50355621.04,47571472.58,44191758.2,37158248.97
Bastrop, LA,73829300.84,74635382.09,73322104.03,70476934.35,69978381.8,65216477.86,60504541.79,54577360.49,47370325.75
Bastrop, TX,126325600,108441601.9,99800873.33,99298278.51,97804184.96,92577228.94,83720648.59,74763841.77,63381022.02
Batavia, NY,228197693.3,230534839.1,229504313.6,230520593.2,231473315.2,226548657.7,219015346,212253584.2,193287384.4
Batesburg-Leesville, SC,96073811.67,99222018.01,99335010.06,98530304.29,102315265.6,98287761.78,96615275.17,92206539.85,84895037.27
Batesville, AR,53954957.57,56225123.61,55595580.3,56071856.6,58944546.28,60484890.2,62269062.3,64618084.93,69792409.82
Batesville, IN,80699601.3,83714353.46,92227518.63,99483523.25,107217866,109944186.6,108143546.4,100689872.6,88314461.6
Batesville, MS,106832739,108658425.8,107841673.1,110929119.4,117005838.7,118371261.8,119357712.5,117813471.9,109436644
Bath, NY,59572428.08,69179956.97,77452717.51,82319794.2,85375853.37,86815688.54,86821928.77,88509193.64,86785103.3
Baton Rouge, LA,3476342129,3660662193,3672367253,3547291502,3572712288,3518952028,3550660862,3623349147,3706354721
Battle Creek, MI,489566829.5,495073152.7,488675042.3,487569941.9,489276064.8,485933862.4,487025402.9,501255549.9,520074388.3
Battle Mountain, NV,110574797.9,117239252.3,107232072,90599480.97,87896207.17,79624535.14,74604102.79,67924798.45,57515330.83
Battlement Mesa, CO,78866006.94,79623788.2,77905252.36,76781102.36,75120576.56,71182795.5,64906073.63,57797533.29,47081005.67
Baxley, GA,42714839.06,45325262.91,39386696.16,29267610.41,22503072.46,18766073.95,16349409.58,14846395.44,13910779.71
Baxter Springs, KS,48473840.73,48428214.37,43067664.31,39243422.51,36693767.53,34204312.42,31616835.16,29524955.86,25575557.08
Bay City, MI,410171187.4,419786421.9,420239852.9,421172877.7,421996290.9,414294048.6,407715449.5,408986495,409714335.1
Bay City, TX,55957854.63,55429519.94,55166098.1,61114052.85,69117102.66,77021967.27,83161190.98,88287329.06,90222104.15
Bay Minette, AL,211095561.6,207069312.1,198451293.7,195395633.4,209675004.6,206432254.2,209552092,204405684.4,195235997.1
Bayard, NM,128863505.1,127523807.4,121167584,123491650.3,124601561.7,126141364.7,127988069.2,135057109.2,139749014.4
Bayfield, CO,16061966.85,17015155.59,16643784.06,15310771.34,13920769.19,12683890.94,11328687.33,10200989.08,8591347.177
Bealeton, VA,23519189.62,22226867.72,20974962.8,21366007.49,21864018.38,21904500.95,21681988.07,20934360.71,19042518.6
Beardstown, IL,10323495.73,15293095.93,22791627,28182024.15,32055491.58,32163745.18,29306797.77,24654517.27,18962951.06
Beatrice, NE,19672052.64,19882821.16,19470219.5,19609794.38,20024960.27,20305713.46,20464297.56,20839126.35,19758795.79
Beaufort--Port Royal, SC,178720994.8,189072193.9,192445850.6,190978719.5,197756019,192015943.1,192021765.3,188296706.3,179992350.1
Beaumont, TX,1325177086,1347218981,1320508027,1319924224,1327101311,1384489147,1433745086,1521643777,1585625382
Beaver, UT,187183549.5,192934160.6,163232670.1,146219672,146641427.8,142978607,135681743.7,128523040.3,115164914.3
Beaver Dam, KY,31908367.28,33603158.63,30218494.31,25767202.82,23494933.53,21797946.89,20109734.27,18168814.58,16067900.84
Beaver Dam, WI,95799889.66,104324470.7,109160067.9,115033057.1,119194669.8,125578598.4,130997381.1,139779820.3,142448324.2
Becker, MN,31590325.42,33322956.85,33539047.59,33753443.58,34082319.85,34253195.12,33738808.64,33248777.97,30900946.54
Beckley, WV,654286706,655607819.7,640051866.7,657474262.6,639927617.8,683103460.3,688965826.9,729754847.1,728418091.3
Bedford, IN,162351882.7,150915638.5,149654869.1,149738561.4,153008826.9,151079732.4,146284198.8,137758752.3,125345456.5
