City,Area,population2010,population2011,population2012,population2013,population2014,population2015,population2016,population2017,personpersqmile2010,personpersqmile2011,personpersqmile2012,personpersqmile2013,personpersqmile2014,personpersqmile2015,personpersqmile2016,personpersqmile2017,emissionperperson2010,emissionperperson2011,emissionperperson2012,emissionperperson2013,emissionperperson2014,emissionperperson2015,emissionperperson2016,emissionperperson2017,cleanEPP2010,cleanEPP2011,cleanEPP2012,cleanEPP2013,cleanEPP2014,cleanEPP2015,cleanEPP2016,cleanEPP2017
Gilbert town,68,208453,211466,215916,221626,227308,232401,237139,242695,3065,3110,3175,3259,3343,3418,3487,3569,2342.612917,2269.109689,2306.808148,2346.692944,2378.382307,2412.718002,2472.367123,2512.533227,2343,2269,2307,2347,2378,2413,2472,2513
Glendale,59,226721,229304,233588,236869,239964,243103,245903,247784,3843,3887,3959,4015,4067,4120,4168,4200,3284.496169,3209.645906,3279.671428,3397.912662,3528.995819,3676.937048,3895.915446,4149.150276,3284,3210,3280,3398,3529,3677,3896,4149
North Las Vegas,98,216961,218291,221856,225346,228680,232537,236513,240504,2214,2227,2264,2299,2333,2373,2413,2454,6657.640562,6509.974213,6393.406687,6621.989909,6240.922529,6186.9693,6231.984876,6201.989372,6658,6510,6393,6622,6241,6187,6232,6202
Winston-Salem,133,229617,231867,233867,235728,238478,239755,241776,244501,1726,1743,1758,1772,1793,1803,1818,1838,5978.204009,5248.317445,4864.942087,4793.205097,4952.621001,5401.579362,6170.233328,7108.786492,5978,5248,4865,4793,4953,5402,6170,7109
Chesapeake,339,222209,225361,228091,230327,233360,235111,237464,240143,655,665,673,679,688,694,700,708,5511.024783,4967.498387,4832.69766,4799.339105,4875.775857,5189.999353,5767.914244,6409.166193,5511,4967,4833,4799,4876,5190,5768,6409
Norfolk,53,242803,243655,246149,245468,246576,246457,245680,244543,4581,4597,4644,4631,4652,4650,4635,4614,6507.239593,5958.44336,5687.889632,5570.368969,5588.706083,5903.121928,6620.197204,7514.125422,6507,5958,5688,5570,5589,5903,6620,7514
Fremont,78,214089,217391,221426,224796,228274,231687,233478,234544,2745,2787,2839,2882,2927,2970,2993,3007,8043.183802,8758.893786,9167.959169,9215.419896,9036.294996,8427.472202,7935.053992,7212.462766,8043,8759,9168,9215,9036,8427,7935,7212
Garland,57,226876,230055,233698,234660,235590,237161,236310,238327,3980,4036,4100,4117,4133,4161,4146,4181,4742.086942,4557.873296,4498.333747,4536.700243,4776.205603,5014.178225,5505.832618,5939.172528,4742,4558,4498,4537,4776,5014,5506,5939
Irving,67,216290,219859,225748,228943,232584,237201,239898,240608,3228,3281,3369,3417,3471,3540,3581,3591,13951.38713,13331.67043,12951.16267,12870.5356,13375.23286,13881.36714,15086.68807,16454.09677,13951,13332,12951,12871,13375,13881,15087,16454
Hialeah,22,224669,228127,230445,232316,232850,233872,234283,236314,10212,10369,10475,10560,10584,10631,10649,10742,4780.638348,4594.289313,4471.836447,4350.060276,4430.662581,4512.864623,4749.921403,5025.234239,4781,4594,4472,4350,4431,4513,4750,5025
